Cluster ‐ 1,,,,,,,,,
RT.NO.,From,To,Fare Stage,"Actual STA
Buses",Route length,Frequency,"No. of buses
required","DTC Sch.
Buses(60%)","DIMTS Sch.
Buses(40%)"
162,GTB Nagar,Sunger Pur,"1.   Mori  Gate  T.  2.  Old  Sectt.3.  Gtb  Ngr  4.  Nirankari  Cly  5.Jharoda  Dairy  Xing  6.  Burari  Villahge  7.  Laniyal  Ind.
8.Ibrahim Pur 9. Hiranki 10.Moh Pur 11. Bakhtawar Pur 12. Sunger Pur",0,18.5,15,10,6,4
363,I.S.B.T,"NOIDA Sec 82
(Kend.Vihar)",1.  Isbt  2.  Red  Fort  3.  A.K.Stadium.4  I.T.O.  (Ring  Rd)  5.  Rly  Bridge  Ring  Raod.6  Road  Bridgeeast  7.  Noida  Xing  8. Mayur Vihar Ph‐I Xing 9. Hindon Regulater 10. Naya Bans 11. Noida Sect‐28/29 12. U.P. Road Ways Bus Terminal Xing 3. Noida Sect‐49/39 14. Sarin Knan 15. Bhangel 16. Nodia Sect‐82 (Kend. Vihar),4,33,15,18,11,7
181,Nizamuddin Rail-way Station,E-Block Jahangir Puri,"1. Nizamuddin Rly Stn 2. Ps Nizamuddin 3. Jln Stadium 4. Bharti Ngr 5. Shahjahan Rd 6. Krishi Bhawan 7. Regal 8. N.D.Rly Stn‐I 9. Ps Pahar Ganj 10. D.B.Gupta Road 11. Subhdara Cly 12. Shakti Ngr Nagia Park 13. Rp Bagh 14. Bara
Bagh 15. Adarsh Ngr 16. E‐Blk Jahangir Pur .",23,29.3,5,47,28,19
220,Haiderpur,Kend (T),"Haiderpur, BH Block Shali-mar Bagh, AE Block Shali-mar Bagh, Ashok Vihar Xing, Bharat Ngr Xing, Subhadra Cly,
Sarai Rohilla, DBGupta Mkt, PS Pahar-ganj, ND Rly Stn G-1, Regal,  Kend. (Term)",3,21.6,15,12,7,5
,,,Total Buses,347,,,773,466,307
Cluster ‐ 5,,,,,,,,,
RT.NO.,From,To,Fare Stage,"Actual STA
Buses",Route length,Frequency,"No. of buses
required","DTC Sch.
Buses(60%)","DIMTS Sch.
Buses(40%)"
1,Kashmere Gate,Gandhi Vihar,1.Kashmiri Gate 2.Old Sectt. 3. Ins Hostal 4. Bhai Parmananad Cly. 5. Nirankari Cly. 6. Gandhi Vihar,0,10.7,15,6,3,3
9,Anand Parbat,H.R.Hospital,1. Anand Parbat 2. D.B.Gupta Mkt 3. Sadar Thana 4. Ice Factory 5. Hindu Rao Hospital.,0,7.3,15,4,2,2
16,Kend.Terminal,"RBI Colony, Shalimar
Bagh","1. Kend. Terminal 2. Regal 3. Shivaji Stadium 4. Mandir Marg 5. Db Gupta Mkt. 6. Sarai Rohilla 7. E‐Blk. Shastri Ngr.
8. B‐3 Kesav Pur 9. Prem Bari Pul 10. Al‐Blk. Sshalimar Bagh 11. Rbi Cly. Shalimar Bagh.",0,18.8,15,10,6,4
28,Mori Gate(T),Shadipur Depot,"1. Mori Gate 2. Red Fort 3. Delhi Gate 4. Mandi House 5. Shivaji Stadium 6. Mandir Marg 7. Arya Samaj Road 8.
Shanker Road 9. West Patel Ngr. 10. S.P.Depot.",0,18.6,15,10,6,4
78,Azadpur(T),"Inderpuri JJ
Cly","1. Azadpur(T) 2. Ashok Vihar Xing 3. W.P. Depot - I 4. P.Bagh (T) 5. Zakhira 6. Moti Nagar 7. S.P.Depot 8. Loha
Mandi 9. Inder Puri JJ Cly",13,12.4,10,10,6,4
81,"Mukherji Ngr
Bandh",Inderpuri,"1. Mukherji Ngr Bandh 2. GTB Ngr 3. Maurice Ngr 4. Shakti Ngr 5. Gulabi Bagh 6.  E Block Shastri Ngr 7. Zakhira
8.Karampura (T) 9. SP Depot 10. Loha Mandi 11. Inderpuri",0,12.8,15,7,4,3
91,Kend.Terminal,"Tri Nagar/JM
Mkt","1.  Kend.(T)  2.  Regal  3.  Sucheta  Kriplani  Hospital  4.  P.S. Paharganj  5.  G.G.Singh  Marg  6.  Sarai  Rohilla  7. E-Blk
Shastri nagar 8. B-3 Keshav Puram 9. Tri Nagar Jai Mata market",0,22.2,15,12,7,5
99,Sarai Kale Khan,Tri Ngr(JM Mkt),1. Sarai Kale Khan 2. Road Bridge 3. Pragati Maidan 4. Supreme  Court 5. Delhi Gate 6. Ajmeri Gate  7. P.S.Pahar Ganj 8. D.B.Gupta Mkt 9. Sarai Rohilla 10. E‐Blk. Shastri Ngr 11. B‐3 Keshav Puram 12. Tri Ngr Jai Mata Market .,0,21.9,15,12,7,5
185,Kend.Terminal,Nathu Pura,"1. Kend Terml 2. Palika Kend. 3. Viveka Nand Marg 4. Delhi Gate 5. Red Fort 6. Isbt 7. Old Sectt 8. Ins Hostel 9. Gtb
Ngr 10. Nirankari Cly 11. Jharoda Xing 12. Burari 13. Kushak Enclave 14. Nathu Pura .",0,28.3,15,15,9,6
262,Kalyan Vihar,Harsh Vihar,"1.  Kalyan  Vihar  2.R.P.Bagh  3.  Clock  Tower/P.S.Roshanara  Rd  4.  University  5.  B.R.Hospital  6.  Nanak  Sar  7.Bhajan
Pura  8. C‐4 Y.Vihar 9.Mandoli Xing 10. Harsh Vihar",0,19.4,15,10,6,4
271,Kendriya Trml.,Jagatpur Temple,"1. Kend. Term. 2. Palika kendra 3.Vivekanand marg 4. Delhi gate 5. Redfort 6. ISBT 7. Old sectt. 8. BR hospital 9.
Jagatpur crossing 10. Jagatpur temple",0,15.5,15,8,5,3
408,F-Block Raghubir Nagar,Sarai Kale Khan (ISBT),"1. F‐Blk.Raghubir  Ngr  2. Raghubir  Ngr Gurudwara3.  Raja Garden  4. Moti Ngr 5. West Patel Ngr 6. Shankar Rd.7. Ridge Road 8. Kend.Terml 9. Krishi Bhawan10. Shahjahan Road 11. Bharti Ngr 12. Lodhi Coly 13. Defence Coly 14.
M.C.K.R.Hospital 15. Lajpat Ngr 16. Ashram 17. Sarai Kalekhan(Isbt)",0,30.2,15,16,10,6
843,Uttam Nagar(T),Adarsh Nagar,"1. Uttam Ngr (T)   2. C‐2b Janak Puri  3. Hn Depot4. Beriwala Bagh  5. Mp Depot  6. P.S. Kirti  Ngr7. Moti Ngr.  8.
Zakhira  9. Kanhiya Ngr10. Ashok Vihar W/ Tank  11 Bara Bagh  12. Adrash Ngr.",0,21.6,15,12,7,5
916,Nangloi,Inderpuri,"1   Inder Puri  2   Loha Mandi  3   Naraina Vihar 4   Mp Chowk  5   Raja Garden  6   Raghubir Ngr Gurudwara   Road
No 29 &30 Xing  8   Paschim Vihar W/T9   Peera Garhi  10   Jawala Puri  11   Nangloi",0,16.8,15,9,5,4
938,Azadpur Terminal,Tikri Border,"1    Azadpur  Terml   2    Ashok  Vihar Xing   3    Wpd‐Ipun   Bagh  (T),4    Jd Blk   Pitam Pura   5    C‐Blk   Saraswati Vihar6
Mangol Pur School  7   Mangolpur Khurd  8  Puth Kalan 9  Begum Pur  10   Karala  11   Kanjhawala12   Kanjhawala School  13   Ghevra Village,14   Tikri Piao 15  Tikri Border",0,30.5,15,16,10,6
985,Karam Pura Terminal,Shahbad Dairy,"1.  Karam  Pura  (T)  2.  P.Bagh  (T)  3.  W.P.  Depot4.  K.D.Blk.Pitam  Pura  5.  Rohini  Sec‐7  &  8  6.  Vidhiya  Vihar  Mg.  7.
Pocket2 D/15 8. Rohini Sec‐16 9. Shahbad Daulat Pur 10. Shahbad Dairy",0,23.3,15,12,7,5
987,Karam Pura (T),"Rohini
Sec.25(Deep Vihar)",1. K.Pura (T) 2. P.Bagh (T) 3. W.P.Depot 4. Kd‐Blk Pitam Pura 5. Rohini Sec‐7 & 8 Xing6. Rohini Sec‐6 (T) (Rohini Depot‐I)7. Rithala Vill.Main Rd. 8. Rohini Sector‐25,0,16.6,15,9,5,4
"219ST
L",Raja Garden,Rly Stn,"1. Raja Garden 2. PB Club 3. PB (T) 4. Zakhira 5. Dayabasti 6.Kishanganj 7. Ice Factory 8. Mori Gate / ISBT 9. Rly
Stn",0,18,15,10,6,4
MS(-),,,,32,49,5,78,47,31
TMS(-),,,,37,48,5,77,46,31
272,Shivaji Stadium,Nehru Vihar,"Shivaji Std, Vivekanand Mrg, Delhi Gate, Red Fort, ISBT, Old Sectt, BR Hosp, Nehru Vihar",0,14,15,7,4,3
410,Khiala Restt.Coly,Jal Vihar  (T),"1. Khiala Restt Coly 2. Subhash Ngr Xing 3. Raja Garden 4. Moti Ngr 5. West Patel Ngr 6. Shankar Road 7. Ridge Rd
8. Kend.Terml 9. Krishi Bhawan 10. Patiala House 11. Golf Club 12. P.S.Nizamuddin 13. Ashram 14. Lp Ngr 15. Jal Vihar Term.",12,28,10,22,13,9
108,Nehru Vihar,H.N.Clock Tower,"1. Nehru Vihar 2. Br Hosp. 3. Khalsa Coll. 4. Shakti Ngr Nagia Park 5. Gulabi Bagh 6. E‐Blk Shastri Ngr 7. Zakhira 8.
Moti Ngr 9. Ps Kirti Ngr 10. M.P. Depot 11. Beri Wala Bagh 12. H.N.Clock Tower.",13,21.2,10,17,10,7
234,Karam Pura-I,Harsh Vihar,"1.  Karam  Pura  Trml.  2.  Zakhira  3.  E‐Blk  Shastri  Ngr  4.  Gulabi  Bagh  5. Shakti  Ngr  6.  Khalsa College  7. Br  Hosp. 8.
Nanak Sar 9. Bhajan Pura 10. C‐4 Yamuna Vihar 11. Nand Nagri Cc. 12. Harsh Vihar",22,23,5,37,22,15
813,ISBT,Manglapuri,"ISBT,  Old  Sectt,  Khalsa  College,  Shakti  Ngr,  Gulabi  Bagh,  E  Block  Shastri  Ngr,  Zakhira,  Moti  Ngr,  Raja Garden, Mukherji Park, Tilak Ngr, B-1 Janakpuri, C-2B Janakpuri, C-1 Janakpuri, Dabri Vill, Manglapuri",0,26.4,15,14,8,6
936,Pragati Maidan,Gulabi Bagh,"1   Parati Maidan  2   I  T  O  3   Delhi Gate  4   Red Fort 5   I  S  B  T 6   Old Sectt    7  Khalsa College  8   Shakti   Ngr  9
Gulabi Bagh",0,16.7,15,9,5,4
132,Pragati Maidan,Ashok Vihar Water Tank,"1.  ITO(AGCR),  2.  Delhi  Gate,  3.  Red  Fort,  4.  ISBT  5.  Old  Sectt.  6.  Gtb  Nagar  7.  Model  Town  II,  8.  Ashok  Vihar
Crossing, 9. L. B. College",0,21.4,15,11,6,5
198,Bhalswa,Wazirpur,"1. Bhalswa JJ Cly. 2. Shardhanand Colony, 3. Haiderpur Water Works, 4. Vidhya Vihar, 5. Rohini Sec ‐ 7/8 Crossing,
6. JD Block Pitampura, 7. Wazirpur Depot",0,16,15,9,5,4
629,Mehrauli,Khyala Resettlement cly.,"1.Mehrauli 2. Pts 3. Quitab Enclave 4. Jnu 5. R.K.Puram Sec ‐I. 6. R.K. Puram Sect‐8 7. R.L.A. College 8. Dh. Kuan 9.
Rr Lines 10. Signal Officer Flats 11. Kirbi Place 12. Lajwanti Garden13. Beri Wala Bagh 14. Mukherji Park 15. Khyala Resett. Cly",0,27,15,14,9,6
,,,Total Buses,129,,,483,286,197
Cluster ‐ 6,,,,,,,,,
RT.NO.,From,To,Fare Stage,"Actual STA
Buses",Route length,Frequency,"No. of buses
required","DTC Sch.
Buses(60%)","DIMTS Sch.
Buses(40%)"
10,Kalyan Vihar,Kend.Terminal,"1. Kend. Terminal 2. Regal 3. Shivaji Stadium 4. Chitra Gupta Road 5. Faiz Road 6. Dcm 7. Pratap Ngr. 8. Shakti Ngr.
Nagiya Park 9. Rp Bagh 10. Kalyan Vihar.",0,17.1,15,9,5,4
160,Kend.Terminal,Haider Pur/Shalimar Bagh,"1. Kend T. 2. Rml Hospital 3. Mandir Marg 4. Sadhu Waswani Marg 5. Tel. Exchange 6. W. Patel Ngr 7.Karampura T.
8. P.Bagh T. 9. Wpd 10. Ashok Xing 11. Ae ‐Blk Shali Mar Bagh 12. Bh Vblk ‐ Shalimar Bagh  13. Haider Pur Village",0,22.4,15,12,7,5
170,Kend.Terminal,Saraswati Vihar Water Tank,"1. Kend Terml 2. Dr. Rml Hospital 3. Mandir Marg 4. Pusa Rd.P 5. Telephone Exchange 6. Wp Ngr 7. Karam Pura Terml 8. P.B.Terml 9. W.P. Depot‐I 10. Kd‐ Block Maurya Enclave 11. C‐Blk Saraswati Vihar 12. Saraswati Vihar W.
Tank",0,15,15,8,5,3
238,I.S.B.T.,Subhash Nagar,"1. Isbt 2. Ice Factory 3. Pratap Ngr 4. E‐Blk Shastri Ngr 5. Zakhira 6. Moti Ngr 7. Raja Garden 8. Mukherji Park 9.
Subhash Ngr.",0,12,15,6,4,2
441,Lajpat Ngr,Inderpuri,"1. Inder Puri 2. Loha Mandi 3. Narain A Vihar 4. Naraina Vill5. Barar Square 6. Rr Lines 7. Dh. Kuan 8. Moti Bagh 9.
N. Ngr.10. Aiims 11. Andrews Ganj 12. Lajpat Ngr.",0,17.5,15,9,6,3
452,LAJPAT Ngr,Karol Bagh (T),"1. Kabagh Terml 2. Ps Pahar Ganj 3. Nd Rly Station‐I  4. Sc. House 5. Baroda House/India Gate 6. Golf Club 7. Ps
Nizamuddin 8. Ashram 9. Lajpat Ngr.",0,12,15,6,4,2
471,A.N. Sec-4,Inder Puri JJ Coly,1. Inder Puri Jj Cly 2. Loha Mandi 3. Naraina Vihar 4. Naraina Vill 5. Barar  Square 6. Rr Line 7.Dhaula  Kuan 8 .Moti Bagh9. Narauji Ngr. 10. S.J. Hosp. 11. I.I.T. Gate  12.P.T.S. 13.  Saket Mkt 14. A.N.Terml 15. Ambedkar Ngr Sec‐4.,0,27,15,14,9,5
601,R.K.Puram-I,Rohini Sec.16,1.R.K.Puram‐I  2. Moti  Bagh  3.  Dh.Kuan  4.  R.R.Line  5.  Barar Squre  6. Naraina  Vill. 7.  M.P.Depot 8.  Raja Garden9. P.Bagh Club 10. P.Bagh (T) 11. Mohindara Park12. Dtc Group Housing Society 13. K.D‐Blk Pitam Pura14. Uttri Pitam Pura 15. Good Will Apptt.16. Esi Hosp. 17. Rohini Sect‐11 Pkt.‐G‐2 18. Rohini Sec‐16,0,30,15,16,10,6
618,S.J.Terminal,Karam Pura Terml.,"1.  S.J. Terminal  2.  S.J. Hostel  3.  Iit Gate  4.  Quitab  Enclave  5.  Jnu  6.  R.K.  Puram  ‐I  7. Moti  Bagh  ‐I  8. Dh.  Kuan  9.
Siamon Bulvard Marg  10. Budha Janati Park 11. Ridge Rd Xing/ R. Blk Link Rd 12. Shankar Rd 13. W. Patel Nagar14. Karam Pura Terminal",0,26.5,15,14,8,6
624,Lodhi Colony,Anand Vihar Bus TERM.,1. Lodhi Cly 2. J.L. N. Stdm. 3. P.S. Nizamuddin 4. Ashram 5. Sarai Kale Khan 6. Road Bridge 7. Pusta Xing 8. P.P. Ganj 9. 13‐Blk Tirilok Puri 10. Kalyan Puri 11. N.H.W. Xing 12. Anand Vihar Bus Terminal (Vivekanand Bus Terminus),0,26,15,14,8,6
631,R.K.Puram-I,HaiderPur,"1. R.K Puram‐I  2. Moti Bagh  3. Dhaula Kuan 4. Rr Line  5. Barar Squre   6. Naraina Vill.7. M. Puri Chowk   8. Raja Garden  9. Punjabi Bagh Culb10. Punjabi Bagh (T) 11. Wp Depot‐I 12 Ashok Viher Xing13. Ae Block Shali Mar Bagh
14. Bh Block Shalimar Bagh 15. Haidar Pur",1,28,15,15,9,6
805,I.S.B.T.,"H-3,Vikas Puri","1.  Isbt  2.  Ice  Factory  3.  Partap  Ngr  .4.  Shastri  Ngr  .E.Blk   5.  Zakhira   6.  Moti  Ngr  7.  Raja  Garden8.  Kherji  Park  9.
Tilakngr 10. Distt.Centre 11. C‐Blk .Vikas Puri 12. H‐3 Vikas Puri.",0,21.9,15,12,7,5
182a,ISBT K Gate,Sukhbir Nagar,"1. ISBT K Gate 2. Ice Factory 3. Partap Ngr 4. E Block Shastri Ngr 5. B3 Keshavpuram 6. Wazirpur Depot 7.JD Block Pritampura 8.C Block Sarswati Vihar 9.Mangolpur Sch 10.Mangolpur Khurd 11.Pooth Kalan 12.Rohini Sec-20
& 21 13.Begumpur 14.Sukhbir Nagar",12,26,10,21,12,9
MS(+),,,,32,49,5,78,47,31
TMS(+),,,,37,48,5,77,46,31
990,Shivaji Stadium,Rithala,1. Shivaji Std. 2. Mandir Marg. 3. Sadhu Vasvani Mg.4. Tele.Exchange 5. West Patel Ngr. 6.K.Pura (T)7. P.Bagh (T) 8. W.P.Depot 9. Kd‐Blk. Morya Enclave10.  Sector‐7 & 8 Xing 11. Rohini Sec‐6 ( Rohini Depot‐112. Rithala,19,22.5,10,18,11,7
990ext.,Shivaji Stadium,"Rohini Sec-24
Pkt 18","Shivaji Std, Mandir Mrg, Sadhu Wasvani Mrg, Tele Exchange, WP Ngr, Karampura (T), PB (T), Wazirpur Depot, KD
Block Morya Enclv, Rohini Sec-7/8 Xing, Rohini Sec-6, Rohini Nala, Rohini Sec-24 Pkt 18",0,24,15,13,8,5
187,Palika Kendra,Siras Pur,"1. Palika Kend 2.Kend Terml/ Talkatora Rd 3. Ridge Rd 4. Shanker Rd 5. Wp Ngr 6. Karam Pura Terml. 7. P.B.Terml
8. Wp Depot‐I 9. Kd Blk Mauriya Enclave 10. Uttri Pitam Pura 11. Haider Pur W/ Works 12. Badli Gt Rd 13. Sira S Pur Xing 14. Siras Pur.",1,26.7,15,14,9,5
803,Dwarka Sec-19,Shivaji Stadium,"1. Shivaji Stadium 2. Mandir Marg 3. Sadhu Vaswani Marg Petrol Pump 4. Telephone Exchange 5. West Patel Ngr
6. Loha Mandi 7. Naraina Vihar8. Mp Depot 9. Beri Wala Bagh 10. Hn Depot11. C2b Janak Puri 12. C‐I Janak Puri
13.  Dabri  Village  14.  Palam  15.  Amrohi  Xing  16.  Bagrola  Village17.  Radha  Swami  Sat  Sang  Sector‐1918.  Dwarka Sector‐19 Pkt.‐3.",0,28.5,15,15,9,6
965,Kend.Terminal,BG5 - Paschim Vihar,"1. Shivaji Stadium, 2. Mandir Marg, 3. Sadhu Vaswani Marg, 4. Telephone Exchange, 5. West Patel Nagar, 6. Karam pura Terminal, 7. Panjabi Bagh Terminal, 8. Syndicate Bank, 9. Road No. 29/30 Crossing, 10. Paschim Vihar Water
Tank, 11. BG ‐ 5 Paschim Vihar",0,25,15,13,8,5
,,,Total Buses,102,,,384,232,152
Cluster ‐ 7,,,,,,,,,
RT.NO.,From,To,Fare Stage,"Actual STA
Buses",Route length,Frequency,"No. of buses
required","DTC Sch.
Buses(60%)","DIMTS Sch.
Buses(40%)"
70,ANAND VIHAR ISBT,Naraina Vihar,"1.  Anand  Vihar  Isbt  2.  Hasanpur  Depot  3.  Shakar  Pur  4.  Rainy  Well  5.  I.T.O  6.  Mandi  House  7.  Regal  8.  Kend.
Terminal 9. Ridge Road 10. Shankar Road 11. W.P. Nagar 12. Loha Mandi 13. Naraina Vihar",0,25,15,13,8,5
73,Anand Vihar Bus Terminus,H.N.Clock Tower,"1.  Anand  Vihar  Isbt  2.  Hp  Depot  3.  Shaker  Pur  4.  Rainy  Well  5.  Ito  Agcr  6.  Mandi  House  7.  Shivaji  Std.  8.  Kend. Terminal 9. Upper Ridge Road 10. Shanker Rd 11. W.P.Ngr 12. Loha Mandi 13. Naraina Vihar 14. Mp Depot 15. Beri
Wala Bagh 16. H.N.Clock Tower .",36,29.4,5,47,28,19
76,Anand Vihar ISBT,Inder Puri JJ Cly,"1. Anand Vihar Isbt 2. Surya Ngr. 3. Dilshad Garden G.T.Road 4. Shahdra 5. Seelam Pur 6. Shayam Giri Mandir 7. Isbt 8. Ice Factory 9. Guru Govind Singh Marg Xing 10. Arya Samaj Road 11. Telephone Exchange 12. R Blk. New
Rajender Ngr. 13. Toda Pur 14. Inder Puri  15. Inder Puri Jj Cly.",0,26,15,14,8,6
82,Jama Masjid,Ranjit Ngr`,1. Jama Masjid 2. D Gate 3. Aj Gate 4.PS P Ganj 5.AS Rd / Gurdwara Rd 6.Tele Exchange 7.WP Ngr 8.Ranjit Ngr,0,12.8,15,7,4,3
85,"Anand Vihar
ISBT","Punjabi Bagh
(T)","1. Anand Vihar ISBT 2.HP Depot 3.Balco Apptt 4.Mother Dairy 5.Rainy Well 6.ITO 7.AGCR 8.Mandi House 9.SK
Hosp 10.  PK Rd11. Pusa Rd P Pump 12.Telephone Exch 13. WP Ngr 14. Karampura (T)15.  PB (T)",29,29.2,5,47,28,19
88,Anand Vihar ISBT,Tri Nagr JM Mkt,"1.  Anand  Vihar  ISBT,  HP  Depot,  Jagatpuri  A  Block,  Swaran  Cinema,  Seelampur,  Shyamgiri  Mandir,  ISBT,  Ice Factory, Clock Tower, Roshnara Rd, Shakti Ngr (N Park), Gulabi Bagh, E Block Shastri Ngr, B-3 Keshav-puram, Tri
Ngr JM Mkt",0,28,15,15,9,6
143,Anand Vihar ISBT,Keshav Ngr Mukti Ashram,"Anand Vihar ISBT, HP Depot, Jagatpuri A Block, Swaran Cinema, Seelampur, Shyamgiri Mandir, ISBT, Old Sectt, INS Hostel, GTB Ngr, Nirankari Cly, Jharoda Dairy Xing, Burari Vill, Loniyal Ind Area, Keshav Ngr Mukti Ashram",0,30,15,16,10,6
165,Anand Vihar Bus Terminus,Shahbad Dairy,"1. Anand Vihar Isbt 2. Surya Ngr 3. Dilshad Garden 4. Gtb Hospital 5. Nand Nagri  Terml 6. Tt Post 7. C‐4 Yamuna
Vihar 8. Bhajan Pura 9. Nanak Sar 10. Jagat Pur  11. Burari Xing 12. Mukand Pur Xing 13. Gtk By Pass 14. Badly Rly Station 15. Shahbad Daulat Pur 16. Shahbad Dairy.",11,35.4,10,28,17,11
205,Kauria Bridge,New Seema Puri,"1. Fateh Puri 2. Isbt 3. Shastri Park 4. Seelam Pur  5. Babar Pur Extn 6. Jyoti Ngr 7. Nand Nagri (T) 8. Anand Gram9.
New Seema Puri.",11,15,10,12,7,5
212,Nand Nagri Terml,Anand Parbat,"1. Anand  Parbat 2. Db  Gupta  Mkt 3. Gg  Singh  Marg  4. Ice Factory  5. Malka  Ganj  6.  University 7.  B.R.Hospital 8.
Nanak Sar 9. Bhajan Pura 10. C‐4 Yamuna Vihar 11. Masndoli Xing 12. Nand Nagri (T)",18,21.5,10,17,10,7
221,"Anand Vihar
ISBT",Mori Gate (T),"Anand Vihar ISBT, Surya Ngr, Dilshad Garden GT Rd, Shahdra, Seelampur, Shyam-giri Mandir, Mori Gate (T)",18,14.2,10,11,7,4
222,"Anand Vihar
ISBT",Ashok Vihar-2,"Anand Vihar ISBT, Surya Ngr, Dilshad Garden GT Rd, Shahdara, Seelampur, Shyam-giri Mandir, ISBT, Ice Factory,
PS Roshnara Rd, Clock Tower, Bharat Ngr Xing, Ashok Vihar-2",0,25.2,15,13,8,5
225,Adarsh Nagar,Vevek Vihar,"1. Adarsh Ngr 2. Bara Bagh 3. Rp Bagh 4. Clock Tower 5. Ice Factory 6. Mori Gate 7. Rly Station 8. Jamuna Bridge 9.
Gandhi Ngr 10. Jheel 11. Swarn Cinema 12. Kashturba Ngr. 13. Vivek Vihar.",0,23,15,12,7,5
236,Anand Vihar(T),Nangloi JJ Cly.,"1. Anand Vihar Isbt 2. Surya Ngr 3. Dilshad Garden Gt Rd  4. Shahdara 5. Seelam Pur 6. Shyam Giri Mandir 7. Isbt 8. Ice  Factory  9.  Gg  Singh  Magr  10.  Sarai  Rohilla  11.  Zakhira  12.  P.B.Terml  13.  Madi  Pur  Jj  Cly  14.  Peera  Garhi  15.
Jwala Puri 16. Nangloi Jj Cly.",17,30,10,24,14,10
261,Sarai Kale Khan (ISBT),Nand Nagri Term.,"1sarai Kale Khan(Isbt) 2. Road Bridge 3. Rly.Bridge Road 4. Ito(Agcr) 5. Delhi Gate 6. Red Fort 7. Isbt 8. Old Sectt 9.
B.R.Hospital 10. Nanak Sar 11. Bhajanpura 12. C‐4 Y.Vihar 13. Mandoli Xing 14. Nand Nagri Terminal",2,27.5,15,15,9,6
264,Shivaji Stadium,Nand Nagri(T),"1.  Shivaji  Stadium  2.  Mandir  Marg  3.  Rani  Jhansi  Rd  (Id  Gah  )  4. Ice  Factory  5.  Clock  Tower  6.  Ps  Roshan‐Ara  7. Khalsa  College  8.  B.R.Hospital  9.  Nanak  Sar  10.  Bhajan  Pura  11.  C‐4  Y.Vihar  12.  Mandoli  Xing  13.  Nand  Nagri
Terminal",0,24.2,15,13,8,5
313,Vivek Vihar,Inder Puri,"1.  Inder  Puri  2.  Loha  Mandi  3.  West  Patel  Ngr  4.  Telephone  Exchange  5.  Sadhu  Vaswani  Marg  P.Pump6. Punchkuain  Road  7.  Sucheta  Kriplani  Hospital8.  Mandi  House  9.  I.T.O.  Agcr  10.  Rainy  Well  11.  Shaker  Pur  12.
Hargovind Enclave 13. Yojna Vihar 14. Surya Ngr 15. Vivek Vihar .",12,26,10,21,12,9
345,Udyog Bhawan,Jhilmill cly DDA  Flates,"1. Udyog Bhawan 2. Baroda House 3. Supreme Court4. Ito(Agcr) 5. Rainy Well 6. Shakarpur 7. Hargobind Encl 8.
Jhil Mil Cly Dda Flats.",0,12.3,15,7,4,3
738,Anand Vihar(T),Kailash Puri,1.  Anand  Vihar  (Isbt)   2.  Hasan  Pur  Depot3.  Shakar  Pur   4.  Rainy  Well   5.  Ito  (Agcr).  Mandi  House   7.  Sucheta Kriplani  Hospital8.  Punchkuian  Rd.   9.      Sadhu   Vasvani  Marg  P.  Pump10.  Telephone  Exchange   11.  West  Patel Ngr.12. Loha Mandi  13. Naraina Vihar  14. Mp Depot15. Zink Mkt.  16. D‐ Block Janak Puri  17. Kailash Puri,0,31.5,15,17,10,7
802,Mori Gate,C-1 Janakpuri,"Mori Gate, Jamuna Bazar, Shantivan, Delhi Gate, VV Nand Marg, S Kriplani Hosp, PK Rd, Pusa Rd P Pump,
Tele Exchange, WP Ngr, Moti Ngr, Raja Garden, Mukherji Park, Tilak Ngr, B-1 Janakpuri, C-2B Janakpuri, C-1 Janakpuri",0,23.7,15,13,8,5
847,New Seema Puri,Uttam Nagar(T),"1. New Seema Puri 2. Anand Gram 3. Nand Nagri T. 4. Joti Ngr5. Babar Pur Ext. 6. Seelam Pur 7. Shastri Park 8.Isbt
9. Ice Factory 10. Kishan Ganj Mkt  11. Daya Basti 12. Zakhira 13. Moti Ngr 14. Raja Garden 15. Mukherji Park16. Tilak Ngr 17. Distt Centre 18. Uttam Ngr Terminal",10,32,12,21,13,8
851,Delhi sectt.,Uttam Ngr(T),"1. Delhi Sectt. 2. Delhi Gate 3. Mandi House 4. Sucheta Kirplani Hosp. 5. Puchkunya Rd.6. Sadhu Waswani Marg. (P.Pump)  7. Tele Exchnage8. W. Patel Ngr 9. Moti Ngr 10. Raja Garden  11. Mukherji  Park 12. Tilak Ngr 13, Distt
Centre 14. Uttam Ngr Terminal",9,23.5,12,16,9,7
855,Delhi Sectt,Kakrola JJ colony,"1. Delhi Sectt. 2. Delhi Gate 3. Ajmeri Gate 4. P.S Pahar Ganj5. Sadhu Waswani Marg 6. Tele Exchange 7. W. Patel Ngr8. Moti Ngr 9. Raja Garden 10.Mukherji Park 11. Tilak Ngr 12. Distt Cente 13. Uttam Ngr 14. C‐1 Janakpuri15. Dabri  Village 16. Dwarka  Xing 17. Madhu  Vihar 18.Netaji Subhash  Eng. College  19. Kakrola Jj Cly (Via Rind Road
Rajghat Xing , Delhi Gate, )",2,35,15,19,7,12
